stop_id,route_types
2860212,3
2860213,3
2860223,3
2860229,3
2860230,3
2860256,3
2860259,3
2860273,3
2860274,3
2860277,3
2860279,3
2860292,3
2860294,3
2860310,3
2860314,3
2860315,3
2860316,3
2860318,3
2860324,3
2860331,3
2860332,3
2860340,3
2860343,3
2860349,3
2860353,3
2860354,3
2860357,3
2860364,3
2860366,3
2860372,3
2860373,3
2860374,3
2860386,3
2860392,3
2860394,3
2860397,3
2860419,3
2860423,3
2860424,3
2860425,3
2860427,3
2860428,3
2860429,3
2860432,3
2860434,3
2860440,3
2860444,3
2860456,3
2860472,3
2860473,3
2860474,3
2860476,3
2860478,3
2860484,3
2860495,3
2860502,3
2860510,3
2860524,3
2860536,3
2860542,3
2860545,3
2860551,3
2860555,3
2860559,3
2860564,3
2860567,3
2860570,3
2860572,3
2860573,3
2860574,3
2860580,3
2860586,3
2860594,3
2860595,3
2860598,3
2860605,3
2860622,3
2860626,3
2860627,3
2860642,3
2860644,3
2860648,3
2860698,3
2860717,3
2860957,3
2861021,3
2861402,3
2861813,3
2862011,3
2862018,3
2862214,3
2862301,3
2918961,3
2918962,3
2918969,3
2919017,3
2919020,3
2919054,3
2919055,3
2919060,3
2919061,3
2919064,3
2919080,3
2919089,3
2992043,3
2992048,3
2992049,3
2992050,3
2992057,3
2992062,3
2992099,3
2992100,3
2992142,3
2992214,3
2992286,3
2992305,3
2992314,3
2992345,3
2992361,3
2992405,3
2992421,3
2992453,3
2992463,3
2992504,3
2992508,3
2992521,3
2992525,3
2992640,3
2992643,3
2992659,3
2992690,3
2992779,3
2992780,3
2992844,3
2992845,3
2992877,3
2992905,3
2992909,3
2992921,3
2992959,3
2992989,3
2993033,3
2993037,3
2993107,3
2993130,3
2993134,3
2993165,3
2993261,3
2993264,3
2993302,3
2993334,3
2993359,3
2993400,3
2993415,3
2993444,3
2993448,3
2993482,3
2993486,3
2993490,3
2993495,3
2993533,3
2993545,3
2993557,3
2993571,3
2993572,3
2993596,3
2993687,3
2993707,3
2993797,3
2993821,3
2993833,3
2993836,3
2993857,3
2993861,3
2993867,3
2993875,3
2993888,3
2993908,3
2993916,3
2993922,3
2993929,3
2993952,3
2993975,3
2993978,3
2993982,3
2994062,3
2994065,3
2994085,3
2994097,3
2994101,3
2994121,3
2994182,3
2994191,3
2994209,3
2994210,3
2994212,3
2994216,3
2994220,3
2994261,3
2994280,3
2994304,3
2994340,3
3012026,3
3012027,3
3030114,3
3030115,3
3030116,3
3030120,3
3030125,3
3030129,3
3030131,3
3030137,3
3030138,3
3030139,3
3030149,3
3030155,3
3030156,3
3030165,3
3030167,3
3030168,3
3030169,3
3030170,3
3030171,3
3034755,3
3054582,3
3054584,3
3054585,3
3065340,3
3133733,3
3133734,3
3133796,3
3160191,3
3181263,3
3183666,3
3183667,3
3183668,3
3183669,3
3183670,3
3183671,3
3183672,3
3183673,3
3183674,3
3183675,3
3183676,3
3183677,3
3183678,3
3183679,3
3183680,3
3183681,3
3183682,3
3183683,3
3183684,3
3183685,3
3183686,3
3183687,3
3183688,3
3183689,3
3183690,3
3183692,3
3183693,3
3183694,3
3183697,3
3183698,3
3183699,3
3183701,3
3183702,3
3183704,3
3183706,3
3183707,3
3183708,3
3183709,3
3183710,3
3183712,3
3183713,3
3183714,3
3183715,3
3183716,3
3183717,3
3183719,3
3183720,3
3183721,3
3183722,3
3183723,3
3183724,3
3183725,3
3183728,3
3183729,3
3183730,3
3183731,3
3183734,3
3183735,3
3183736,3
3183737,3
3183738,3
3183739,3
3183740,3
3183741,3
3183742,3
3183743,3
3183744,3
3183745,3
3183746,3
3183747,3
3183748,3
3183750,3
3183752,3
3183753,3
3183755,3
3183756,3
3183757,3
3183758,3
3183759,3
3183760,3
3183761,3
3183763,3
3183764,3
3183765,3
3183766,3
3183767,3
3183768,3
3183769,3
3183770,3
3183771,3
3183772,3
3183774,3
3183775,3
3183776,3
3183777,3
3183778,3
3183779,3
3183780,3
3183781,3
3183783,3
3183784,3
3183785,3
3183786,3
3183787,3
3183789,3
3183790,3
3183791,3
3183792,3
3183793,3
3183794,3
3183795,3
3183796,3
3183797,3
3183798,3
3183799,3
3183800,3
3183801,3
3183802,3
3183803,3
3183804,3
3183805,3
3183806,3
3183807,3
3183808,3
3183809,3
3183810,3
3183812,3
3183813,3
3183815,3
3183816,3
3183818,3
3183819,3
3183820,3
3183822,3
3183823,3
3183824,3
3183825,3
3183826,3
3183827,3
3183828,3
3183829,3
3183830,3
3183833,3
3183834,3
3183835,3
3183836,3
3183837,3
3183838,3
3183839,3
3183840,3
3183841,3
3183842,3
3183843,3
3183844,3
3183845,3
3183846,3
3183847,3
3183849,3
3183850,3
3183851,3
3183852,3
3183853,3
3183854,3
3183855,3
3183856,3
3183858,3
3183859,3
3183860,3
3183861,3
3183862,3
3183863,3
3183864,3
3183866,3
3183867,3
3183868,3
3183869,3
3183870,3
3183871,3
3183872,3
3183873,3
3183874,3
3183875,3
3183876,3
3183877,3
3183878,3
3183882,3
3183883,3
3183884,3
3183885,3
3183886,3
3183887,3
3183888,3
3183889,3
3183890,3
3183891,3
3183892,3
3183893,3
3183896,3
3183899,3
3183900,3
3183901,3
3183902,3
3183903,3
3183904,3
3183905,3
3183906,3
3183907,3
3183908,3
3183909,3
3183910,3
3183911,3
3183912,3
3183913,3
3183914,3
3183915,3
3183916,3
3183917,3
3183918,3
3183919,3
3183920,3
3183921,3
3183922,3
3183923,3
3183924,3
3183925,3
3183926,3
3183927,3
3183928,3
3183929,3
3183930,3
3183931,3
3183932,3
3183933,3
3183934,3
3183935,3
3183936,3
3183937,3
3183938,3
3183939,3
3183940,3
3183941,3
3183942,3
3183943,3
3183944,3
3183945,3
3183946,3
3183947,3
3183948,3
3183949,3
3183950,3
3183951,3
3183952,3
3183955,3
3183956,3
3183959,3
3183961,3
3183963,3
3183964,3
3183965,3
3183966,3
3183967,3
3183968,3
3183969,3
3183970,3
3183971,3
3183972,3
3183973,3
3183974,3
3183975,3
3183976,3
3183977,3
3183978,3
3183979,3
3183980,3
3183981,3
3183982,3
3183983,3
3183984,3
3183985,3
3183986,3
3183988,3
3183989,3
3183990,3
3183991,3
3183993,3
3183994,3
3183995,3
3183996,3
3183997,3
3183998,3
3183999,3
3184000,3
3184001,3
3184002,3
3184003,3
3184004,3
3184005,3
3184006,3
3184007,3
3184008,3
3184009,3
3184010,3
3184011,3
3184012,3
3184013,3
3184014,3
3184015,3
3184016,3
3184017,3
3184018,3
3184019,3
3184020,3
3184021,3
3184022,3
3184023,3
3184024,3
3184026,3
3184027,3
3184028,3
3184029,3
3184030,3
3184031,3
3184032,3
3184033,3
3184034,3
3184035,3
3184036,3
3184037,3
3184038,3
3184039,3
3184040,3
3184041,3
3184042,3
3184043,3
3184044,3
3184048,3
3184049,3
3184050,3
3184051,3
3184052,3
3184053,3
3184054,3
3184055,3
3184056,3
3184057,3
3184058,3
3184059,3
3184060,3
3184061,3
3184062,3
3184063,3
3184065,3
3184066,3
3184067,3
3184068,3
3184069,3
3184070,3
3184071,3
3184072,3
3184073,3
3184074,3
3184075,3
3184077,3
3184078,3
3184079,3
3184080,3
3184081,3
3184082,3
3184083,3
3184085,3
3184090,3
3184093,3
3184096,3
3184097,3
3184098,3
3184099,3
3184100,3
3184101,3
3184102,3
3184103,3
3184104,3
3184105,3
3184106,3
3184108,3
3184109,3
3184110,3
3184111,3
3184112,3
3184113,3
3184114,3
3184115,3
3184116,3
3184117,3
3184118,3
3184119,3
3184120,3
3184121,3
3184122,3
3184123,3
3184124,3
3184125,3
3184126,3
3184127,3
3184128,3
3184129,3
3184131,3
3184132,3
3184133,3
3184136,3
3184137,3
3184138,3
3184139,3
3184140,3
3184141,3
3184143,3
3184144,3
3184145,3
3184146,3
3184147,3
3184148,3
3184149,3
3184150,3
3184151,3
3184152,3
3184153,3
3184154,3
3184155,3
3184156,3
3184157,3
3184158,3
3184159,3
3184160,3
3184161,3
3184162,3
3184169,3
3184170,3
3184171,3
3184172,3
3184173,3
3184174,3
3184175,3
3184176,3
3184177,3
3184178,3
3184179,3
3184180,3
3184181,3
3184182,3
3184183,3
3184184,3
3184185,3
3184186,3
3184187,3
3184188,3
3184189,3
3184190,3
3184191,3
3184192,3
3184193,3
3184194,3
3184195,3
3184196,3
3184198,3
3184199,3
3184200,3
3184201,3
3184202,3
3184203,3
3184204,3
3184205,3
3184206,3
3184207,3
3184208,3
3184209,3
3184210,3
3184211,3
3184212,3
3184213,3
3184214,3
3184215,3
3184216,3
3184217,3
3184218,3
3184219,3
3184220,3
3184221,3
3184222,3
3184223,3
3184224,3
3184226,3
3184228,3
3184229,3
3184230,3
3184231,3
3184232,3
3184233,3
3184234,3
3184236,3
3184237,3
3184238,3
3184239,3
3184240,3
3184241,3
3184242,3
3184243,3
3184244,3
3184245,3
3184246,3
3184247,3
3184248,3
3184249,3
3184250,3
3184251,3
3184252,3
3184253,3
3184254,3
3184255,3
3184256,3
3184257,3
3184258,3
3184259,3
3184260,3
3184261,3
3184264,3
3184265,3
3184266,3
3184267,3
3184268,3
3184269,3
3184271,3
3184272,3
3184273,3
3184274,3
3184275,3
3184276,3
3184277,3
3184278,3
3184279,3
3184280,3
3184281,3
3184282,3
3184283,3
3184284,3
3184285,3
3184286,3
3184288,3
3184289,3
3184290,3
3184291,3
3184292,3
3184293,3
3184294,3
3184295,3
3184296,3
3184297,3
3184298,3
3184299,3
3184300,3
3184301,3
3184302,3
3184303,3
3184304,3
3184305,3
3184308,3
3184309,3
3184310,3
3184311,3
3184312,3
3184313,3
3184314,3
3184315,3
3184317,3
3184318,3
3184319,3
3184320,3
3184321,3
3184322,3
3184323,3
3184324,3
3184325,3
3184326,3
3184327,3
3184329,3
3184331,3
3184332,3
3184333,3
3184334,3
3184335,3
3184336,3
3184337,3
3184339,3
3184340,3
3184341,3
3184342,3
3184343,3
3184344,3
3184345,3
3184346,3
3184347,3
3184348,3
3184349,3
3184350,3
3184351,3
3184352,3
3184353,3
3184354,3
3184355,3
3184356,3
3184357,3
3184358,3
3184359,3
3184360,3
3184361,3
3184363,3
3184364,3
3184365,3
3184366,3
3184367,3
3184368,3
3184369,3
3184370,3
3184371,3
3184372,3
3184373,3
3184374,3
3184375,3
3184377,3
3184378,3
3184379,3
3184380,3
3184381,3
3184382,3
3184383,3
3184384,3
3184385,3
3184386,3
3184387,3
3184389,3
3184390,3
3184391,3
3184392,3
3184393,3
3184394,3
3184395,3
3184404,3
3184405,3
3184406,3
3184407,3
3184408,3
3184409,3
3184410,3
3184411,3
3184412,3
3184413,3
3184414,3
3184415,3
3184416,3
3184417,3
3184418,3
3184419,3
3184420,3
3184421,3
3184422,3
3184423,3
3184424,3
3184425,3
3184426,3
3184427,3
3184428,3
3184429,3
3184430,3
3184431,3
3184432,3
3184433,3
3184434,3
3184435,3
3184436,3
3184438,3
3184440,3
3184441,3
3184442,3
3184443,3
3184463,3
3184465,3
3184466,3
3184468,3
3184469,3
3184470,3
3184472,3
3184473,3
3184474,3
3184475,3
3184476,3
3184477,3
3184478,3
3184479,3
3184480,3
3184481,3
3184482,3
3184483,3
3184485,3
3184486,3
3184487,3
3184488,3
3184489,3
3184490,3
3184491,3
3184492,3
3184493,3
3184494,3
3184495,3
3184496,3
3184497,3
3184498,3
3184499,3
3184500,3
3184501,3
3184502,3
3184503,3
3184504,3
3184505,3
3184506,3
3184507,3
3184508,3
3184509,3
3184510,3
3184511,3
3184512,3
3184513,3
3184514,3
3184515,3
3184516,3
3184517,3
3184518,3
3184519,3
3184520,3
3184521,3
3184522,3
3184523,3
3184524,3
3184525,3
3184526,3
3184527,3
3184528,3
3184529,3
3184534,3
3184535,3
3184536,3
3184537,3
3184538,3
3184539,3
3184540,3
3184543,3
3184544,3
3184545,3
3184546,3
3184547,3
3184548,3
3184549,3
3184550,3
3184551,3
3184552,3
3184553,3
3184554,3
3184555,3
3184556,3
3184557,3
3184558,3
3184559,3
3184560,3
3184561,3
3184562,3
3184563,3
3184564,3
3184565,3
3184566,3
3184567,3
3184568,3
3184569,3
3184570,3
3184571,3
3184572,3
3184573,3
3184574,3
3184575,3
3184576,3
3184578,3
3184582,3
3184583,3
3184584,3
3184585,3
3184586,3
3184589,3
3184590,3
3184591,3
3184592,3
3184593,3
3184594,3
3184597,3
3184598,3
3184599,3
3184600,3
3184601,3
3184602,3
3184603,3
3184604,3
3184605,3
3184606,3
3184607,3
3184608,3
3184609,3
3184610,3
3184611,3
3184612,3
3184613,3
3184614,3
3184615,3
3184616,3
3184617,3
3184618,3
3184619,3
3184620,3
3184621,3
3184622,3
3184623,3
3184624,3
3184625,3
3184626,3
3184627,3
3184628,3
3184629,3
3184630,3
3184631,3
3184632,3
3184633,3
3184634,3
3184635,3
3184636,3
3184637,3
3184638,3
3184639,3
3184640,3
3184641,3
3184646,3
3184647,3
3184648,3
3184649,3
3184650,3
3184651,3
3184652,3
3184653,3
3184654,3
3184655,3
3184658,3
3184659,3
3184660,3
3184661,3
3184662,3
3184663,3
3184664,3
3184683,3
3184684,3
3184685,3
3184686,3
3184687,3
3184688,3
3184689,3
3184690,3
3184691,3
3184692,3
3184693,3
3184694,3
3184702,3
3184703,3
3184704,3
3184705,3
3184706,3
3184707,3
3184708,3
3184709,3
3184710,3
3184711,3
3184712,3
3184713,3
3184714,3
3184725,3
3184727,3
3184728,3
3184730,3
3184731,3
3184732,3
3184733,3
3184734,3
3184735,3
3184737,3
3184739,3
3184740,3
3184741,3
3184743,3
3184744,3
3184745,3
3184746,3
3184747,3
3184748,3
3184749,3
3184750,3
3184751,3
3184753,3
3184754,3
3184755,3
3184756,3
3184757,3
3184758,3
3184759,3
3184760,3
3184761,3
3184762,3
3184763,3
3184764,3
3184765,3
3184766,3
3184767,3
3184768,3
3184769,3
3184770,3
3184771,3
3184772,3
3184773,3
3184774,3
3184775,3
3184776,3
3184777,3
3184778,3
