stop_id,stop_name,stop_lat,stop_lon
3237468,"'s-Heerenbroek, Zwolseweg 56",52.536297,5.998701
3237469,"'s-Heerenbroek, Zwolseweg 56",52.536612,5.996951
3237470,"Wilsum, Quarles v. Uffordweg",52.538082,5.979947
3237471,"Wilsum, Quarles v. Uffordweg",52.538714,5.975666
3237472,"Wilsum, Wilsumersteeg",52.541087,5.966647
3237473,"Wilsum, Wilsumersteeg",52.541993,5.965141
3237474,"IJsselmuiden, Verzinkerij",52.553195,5.935843
3237475,"Kampen, GSG Pieter Zandt",52.54226,5.923472
3237476,"Kampen, GSG Pieter Zandt",52.542269,5.923413
3237477,"Nunspeet, De Bunte",52.383086,5.785638
3237478,"Nunspeet, 't Hul",52.380952,5.781565
3237479,"Nunspeet, Gruppendelerweg",52.37763,5.775191
3237480,"Nunspeet, Gruppendelerweg",52.377022,5.774216
3237482,"Dronten, Rietweg",52.516564,5.690258
3237483,"Dronten, Baskenstraat",52.52143,5.715471
3237484,"Dronten, Baskenstraat",52.521502,5.71556
3237485,"Dronten, De Boeg",52.517579,5.717108
3237486,"Dronten, Rietweg",52.516203,5.690698
3237487,"Dronten, De Boeg",52.517966,5.716978
3237488,"Dronten, Station",52.533566,5.721147
3237489,"Dronten, Aeres Hogeschool",52.527976,5.694418
3237490,"Dronten, Station",52.5337,5.721399
3237491,"Renkum, Telefoonweg",51.986121,5.744444
3237492,"Renkum, Telefoonweg",51.985782,5.743728
3237493,"'s Heeren Loo, Apeldoornseweg",52.090945,5.728166
3237494,"'s Heeren Loo, Apeldoornseweg",52.091204,5.728649
3237495,"Otterlo, Rotonde",52.103411,5.76929
3237496,"Otterlo, Rotonde",52.103392,5.769625
3237497,"Otterlo, Rotonde",52.103923,5.769469
3237498,"Otterlo, Rotonde",52.103994,5.769601
3237499,"Wageningen, Mansholtlaan",51.981563,5.676358
3237500,"Wageningen, Mansholtlaan",51.981655,5.675354
3237501,"Loenen, Harderwijkerweg",52.109085,6.032507
3237502,"Loenen, Bergakkerweg",52.111179,6.024347
3237503,"Loenen, Bergakkerweg",52.111305,6.024422
3237504,"Loenen, Bruisbeek",52.116492,6.017415
3237505,"Loenen, Bruisbeek",52.116123,6.017556
3237506,"Loenen, Leeuwenbergweg",52.119144,6.01735
3237507,"Loenen, Leeuwenbergweg",52.119315,6.017352
3237508,"Loenen, Hoge Bergweg",52.134251,6.000708
3237509,"Loenen, Hoge Bergweg",52.134305,6.000738
3237510,"Apeldoorn, De Heemgaard",52.191934,6.001282
3237511,"Apeldoorn, De Heemgaard",52.191906,6.001487
3237512,"Harskamp, Centrum",52.127453,5.755432
3237513,"Harskamp, Centrum",52.126894,5.756128
3237514,"Harskamp, De Spil",52.131142,5.751475
3237515,"Harskamp, De Spil",52.131078,5.751635
3237516,"Harskamp, Kraatsweg",52.133176,5.75047
3237517,"Harskamp, Kraatsweg",52.133563,5.750356
3237518,"Harskamp, Radioweg",52.137082,5.748749
3237519,"Harskamp, Radioweg",52.138299,5.747648
3237520,"Harskamp, Hoog Buurloseweg",52.146751,5.73749
3237521,"Harskamp, Hoog Buurloseweg",52.14787,5.73592
3237522,"Harskamp, Westenengerdijk",52.123562,5.725188
3237523,"Harskamp, Julianastraat",52.129795,5.748135
3237524,"Harskamp, Julianastraat",52.129891,5.749012
3237525,"Stroe, Heetweg",52.158877,5.715401
3237526,"Apeldoorn, Hoog Buurloseweg",52.184787,5.916387
3237527,"Apeldoorn, Hoog Buurloseweg",52.184793,5.916958
3237528,"Apeldoorn, Van der Valk/De Cantharel",52.177952,5.913104
3237529,"Apeldoorn, Van der Valk/De Cantharel",52.17717,5.913154
3237530,"Apeldoorn, Het Leesten",52.170229,5.907561
3237531,"Apeldoorn, Het Leesten",52.170164,5.908189
3237532,"Hoenderloo, Kronkelweg",52.124228,5.830813
3237533,"Hoenderloo, Kronkelweg",52.124508,5.832685
3237534,"Bennekom, Vossenweg",52.008102,5.673966
3237535,"Bennekom, Vossenweg",52.008381,5.673764
3237536,"Bennekom, Strooijweg",52.00151,5.675409
3237537,"Bennekom, Strooijweg",52.001556,5.674812
3237538,"Bennekom, Molenstraat",52.000685,5.670948
3237539,"Bennekom, Molenstraat",52.000595,5.670845
3237540,"Bennekom, Hof van Sint Pieter",51.997627,5.67186
3237541,"Bennekom, Hof van Sint Pieter",51.997258,5.671902
3237542,"Bennekom, Bart van Elstplantsoen",51.996549,5.675144
3237543,"Bennekom, Bart van Elstplantsoen",51.996412,5.675915
3237544,"Ede, Horalaan",52.021309,5.672331
3237545,"Ede, Horalaan",52.020951,5.672067
3237546,"Bennekom, Hoekelumse Brinkweg",52.012121,5.673176
3237547,"Bennekom, Hoekelumse Brinkweg",52.011232,5.672966
3237548,"Bennekom, Heidelaan",52.005628,5.674635
3237549,"Bennekom, Heidelaan",52.003965,5.674988
3237550,"Ede, Station Ede-Wageningen",52.026427,5.67471
3237551,"Ede, Station Ede-Wageningen",52.026554,5.674055
3237552,"Ede, Wekeromse Zand",52.10277,5.703633
3237553,"Wekerom, Roekelseweg",52.106563,5.706652
3237554,"Wekerom, Roekelseweg",52.107172,5.707781
3237555,"Wekerom, Wekeromse Buurtweg",52.110046,5.71186
3237556,"Wekerom, Wekeromse Buurtweg",52.110546,5.712798
3237557,"De Valk, Lage Valkseweg",52.119787,5.702513
3237558,"Wekerom, Kruispunt",52.112942,5.717633
3237559,"Wekerom, Kruispunt",52.113317,5.718424
3237560,"Wekerom, A.G. Wijersweg",52.115257,5.715766
3237561,"Wekerom, A.G. Wijersweg",52.115356,5.715767
3237562,"Harskamp, Westenengerdijk",52.12383,5.725759
3237563,"Loenen, Harderwijkerweg",52.109173,6.032873
3237564,"Eerbeek, Coldenhovenseweg",52.095529,6.05712
3237565,"Eerbeek, Coldenhovenseweg",52.095331,6.057015
