stop_id,stop_name
2992465,Culemborg
2992466,Culemborg
2992469,Coevorden
2992470,Coevorden
2992473,Capelle Schollevaar
2992474,Capelle Schollevaar
2992477,Chevremont
2992480,Daarlerveen
2992481,Daarlerveen
2992484,Delden
2992485,Delden
2992488,Dordrecht
2992489,Dordrecht
2992492,Dordrecht
2992493,Dordrecht
2992494,Dordrecht
2992495,Dordrecht
2992496,Dordrecht
2992497,Dordrecht
2992498,Dordrecht
2992499,Dordrecht
2992500,Dordrecht
2992501,Dordrecht
2992502,Dordrecht
2992506,Dordrecht Stadspolders
2992507,Dordrecht Stadspolders
2992516,Deinum
2992519,Didam
2992520,Didam
2992523,Dalfsen
2992524,Dalfsen
2992527,Den Dolder
2992528,Den Dolder
2992533,Dalen
2992536,Diemen
2992537,Diemen
2992548,Deurne
2992549,Deurne
2992550,Deurne
2992555,Dieren
2992556,Dieren
2992563,Driehuis
2992564,Driehuis
2992567,Dronten
2992568,Dronten
2992573,Dronryp
2992574,Dronryp
2992577,Delft
2992578,Delft
2992579,Delft
2992580,Delft
2992583,Doetinchem
2992584,Doetinchem
2992589,Doetinchem De Huet
2992592,Delft Campus
2992593,Delft Campus
2992594,Delft Campus
2992595,Delft Campus
2992597,Düsseldorf Hbf
2992618,Duivendrecht
2992619,Duivendrecht
2992620,Duivendrecht
2992621,Duivendrecht
2992625,Duiven
2992626,Duiven
2992629,De Vink
2992630,De Vink
2992631,De Vink
2992632,De Vink
2992635,De Westereen
2992636,De Westereen
2992639,Delfzijl
2992642,Delfzijl West
2992644,Altenberge
2992650,Bönen
2992652,Steinfurt-Burgsteinfurt
2992654,Steinfurt-Borghorst
2992657,Echt
2992658,Echt
2992669,Ede Centrum
2992675,Dortmund Hbf
2992680,Eemshaven
2992682,Ennepetal
2992685,Eygelshoven
2992686,Eygelshoven
2992689,Eygelshoven Markt
2992691,Steinfurt-Grottenkamp
2992694,Eindhoven Strijp-S
2992695,Eindhoven Strijp-S
2992696,Eindhoven Strijp-S
2992697,Eindhoven Strijp-S
2992717,Holzwickede
2992720,Enkhuizen
2992721,Enkhuizen
2992724,Emmerich-Elten
2992731,Ermelo
2992732,Ermelo
2992735,Emmen
2992736,Emmen
2992739,Emmen Zuid
2992740,Emmen Zuid
2992742,Münster-Häger
2992744,Münster (W) Zentrum Nord
2992750,Enschede
2992751,Enschede
2992752,Enschede
2992753,Enschede
2992755,Enschede
2992756,Enschede
2992759,Enschede De Eschmarke
2992760,Enschede De Eschmarke
2992767,Enschede Kennispark
2992768,Enschede Kennispark
2992773,Schwerte (Ruhr)
2992776,Elst
2992777,Elst
2992783,Etten-Leur
2992784,Etten-Leur
2992786,Unna
2992788,Brussels Airport-Zaventem
2992792,Frankfurt (M) Hbf
2992803,Mainz Hbf
2992806,Franeker
2992807,Franeker
2992809,Frankfurt Flughafen Fernb
2992820,Feanwâlden
2992821,Feanwâlden
2992823,Gronau (Westf.)
2992826,Gramsbergen
2992827,Gramsbergen
2992829,Glanerbrug
2992830,Glanerbrug
2992833,Gouda
2992834,Gouda
2992835,Gouda
2992839,Gouda
2992842,Gouda
2992868,Gaanderen
2992873,Groningen Europapark
2992874,Groningen Europapark
2992875,Groningen Europapark
2992876,Groningen Europapark
2992879,Geleen Oost
2992880,Geleen Oost
2992903,Hardinxveld-Giessendam
2992904,Hardinxveld-Giessendam
2992907,Groningen Noord
2992908,Groningen Noord
2992911,Goor
2992912,Goor
2992915,Geldrop
2992916,Geldrop
2992919,Gorinchem
2992920,Gorinchem
2992923,Goes
2992924,Goes
2992926,Berlin Gesundbrunnen
2992936,Den Haag Centraal
2992937,Den Haag Centraal
2992938,Den Haag Centraal
2992939,Den Haag Centraal
2992940,Den Haag Centraal
2992941,Den Haag Centraal
2992942,Den Haag Centraal
2992943,Den Haag Centraal
2992944,Den Haag Centraal
2992945,Den Haag Centraal
2992949,Den Haag Mariahoeve
2992950,Den Haag Mariahoeve
2992951,Den Haag Mariahoeve
2992952,Den Haag Mariahoeve
2992955,Den Haag Moerwijk
2992956,Den Haag Moerwijk
2992957,Den Haag Moerwijk
2992958,Den Haag Moerwijk
2992968,Gilze-Rijen
2992969,Gilze-Rijen
2992972,Heemstede-Aerdenhout
2992973,Heemstede-Aerdenhout
2992975,Hagen Hbf
2992979,Hamm (Westf.)
2992981,Hannover Hbf
2992984,Hoensbroek
2992985,Hoensbroek
2992988,Hardinxveld Blauwe Zoom
2992991,Harderwijk
2992992,Harderwijk
2992995,Hardenberg
2992996,Hardenberg
2992999,'t Harde
2993000,'t Harde
2993007,Hurdegaryp
2993008,Hurdegaryp
2993012,Den Helder
2993013,Den Helder
2993016,Den Helder Zuid
2993017,Den Helder Zuid
2993020,Hoofddorp
2993021,Hoofddorp
2993022,Hoofddorp
2993023,Hoofddorp
2993026,Hengelo Oost
2993027,Hengelo Oost
2993030,Hoogeveen
2993031,Hoogeveen
2993035,Hoogezand-Sappemeer
2993036,Hoogezand-Sappemeer
2993039,Hillegom
2993040,Hillegom
2993043,Heemskerk
2993044,Heemskerk
2993047,Hoogkarspel
2993048,Hoogkarspel
2993051,Harlingen
2993052,Harlingen
2993055,Harlingen Haven
2993058,Haarlem
2993059,Haarlem
2993061,Haarlem
2993062,Haarlem
2993063,Haarlem
2993064,Haarlem
2993065,Haarlem
2993067,Haarlem
2993070,Haarlem Spaarnwoude
2993071,Haarlem Spaarnwoude
2993074,Heiloo
2993075,Heiloo
2993078,Helmond
2993079,Helmond
2993082,Helmond Brouwhuis
2993083,Helmond Brouwhuis
2993090,Helmond 't Hout
2993091,Helmond 't Hout
2993094,Hemmen-Dodewaard
2993095,Hemmen-Dodewaard
2993102,Heino
2993103,Heino
2993106,Hindeloopen
2993109,Holten
2993110,Holten
2993115,Hollandsche Rading
2993116,Hollandsche Rading
2993125,Heerlen
2993126,Heerlen
2993127,Heerlen
2993128,Heerlen
2993129,Heerlen
2993132,Heerlen Woonboulevard
2993133,Heerlen Woonboulevard
2993140,Horst-Sevenum
2993141,Horst-Sevenum
2993173,Houten
2993174,Houten
2993186,Hilversum
2993187,Hilversum
2993188,Hilversum
2993189,Hilversum
2993190,Hilversum
2993197,Hilversum Sportpark
2993198,Hilversum Sportpark
2993201,Heerhugowaard
2993202,Heerhugowaard
2993208,Halfweg-Zwanenburg
2993209,Halfweg-Zwanenburg
2993212,Heeze
2993213,Heeze
2993215,Innsbruck Hbf
2993217,Jenbach
2993219,Karlsruhe Hbf
2993221,Bonn-Beuel
2993223,Krabbendijke
2993224,Krabbendijke
2993227,Klarenbeek
2993228,Klarenbeek
2993230,Boisheim
2993232,Breyell
2993234,Düsseldorf Flughafen
2993236,Dülken
2993242,Köln-Ehrenfeld
2993245,Koblenz Hbf
2993249,Veenendaal-De Klomp
2993250,Veenendaal-De Klomp
2993259,Klimmen-Ransdaal
2993260,Klimmen-Ransdaal
2993263,Koudum-Molkwerum
2993265,Kaldenkirchen
2993267,Köln Hbf
2993272,Kampen
2993275,Kampen Zuid
2993276,Kampen Zuid
2993279,Kerkrade Centrum
2993283,Kruiningen-Yerseke
2993284,Kruiningen-Yerseke
2993286,Siegburg/Bonn
2993288,Schwelm
2993292,Kesteren
2993293,Kesteren
2993295,Kufstein
2993300,Kropswolde
2993301,Kropswolde
2993303,Wuppertal-Barmen
2993305,Wuppertal-Oberbarmen
2993308,Koog aan de Zaan
2993309,Koog aan de Zaan
2993312,Den Haag Laan v NOI
2993313,Den Haag Laan v NOI
2993314,Den Haag Laan v NOI
2993315,Den Haag Laan v NOI
2993325,Lochem
